timestamp,wind_speed,rotor_rpm,power,pitch_cmd,pitch_meas,torque,vibration,rotor_phase
2026-01-08 08:05:05,10.86,12.87,1403.38,4.14,4.6,11.02,0.485,77.2
2026-01-08 08:05:06,10.1,12.05,889.06,4.9,4.85,6.71,0.469,149.5
2026-01-08 08:05:07,9.48,11.27,783.5,5.52,5.14,7.36,0.549,217.2
2026-01-08 08:05:08,7.96,9.61,296.43,7.04,7.15,3.36,0.652,274.8
2026-01-08 08:05:09,10.07,11.89,975.59,4.93,5.26,8.56,0.534,346.2
2026-01-08 08:05:10,7.56,9.26,244.85,7.44,7.25,2.67,0.505,41.7
2026-01-08 08:05:11,6.75,7.95,121.11,8.25,8.34,1.44,0.465,89.4
2026-01-08 08:05:12,10.29,12.39,1170.07,4.71,5.15,8.95,0.744,163.8
2026-01-08 08:05:13,10.54,12.65,1082.61,4.46,4.72,8.25,0.432,239.7
2026-01-08 08:05:14,9.06,10.87,545.42,5.94,6.04,4.95,0.522,304.9
2026-01-08 08:05:15,13.02,15.12,2528.78,1.98,1.8,16.48,0.46,35.6
2026-01-08 08:05:16,9.87,11.77,937.12,5.13,5.07,7.84,0.435,106.2
2026-01-08 08:05:17,9.38,11.22,657.81,5.62,5.72,5.33,0.478,173.6
2026-01-08 08:05:18,9.98,11.89,881.96,5.02,5.03,7.26,0.379,244.9
2026-01-08 08:05:19,9.11,11.02,582.94,5.89,5.51,4.6,0.691,311.1
2026-01-08 08:05:20,8.08,9.7,341.62,6.92,7.07,3.51,0.432,9.3
2026-01-08 08:05:21,8.57,10.27,432.84,6.43,6.29,4.18,0.387,70.9
2026-01-08 08:05:22,9.51,11.43,865.21,5.49,5.41,7.28,0.632,139.5
2026-01-08 08:05:23,11.36,13.7,1864.04,3.64,3.81,13.08,0.47,221.7
2026-01-08 08:05:24,9.14,11.1,635.92,5.86,5.59,5.53,0.411,288.4
2026-01-08 08:05:25,11.04,13.24,1503.91,3.96,4.0,11.13,0.5,7.8
2026-01-08 08:05:26,9.03,10.77,639.37,5.97,6.1,5.74,0.528,72.4
2026-01-08 08:05:27,8.79,10.6,481.78,6.21,6.28,4.45,0.308,136.0
2026-01-08 08:05:28,12.91,14.92,2361.83,2.09,1.53,15.73,0.485,225.5
2026-01-08 08:05:29,10.18,12.13,1015.14,4.82,4.44,8.34,0.385,298.3
2026-01-08 08:05:30,10.16,12.24,936.27,4.84,4.75,7.54,0.665,11.7
2026-01-08 08:05:31,8.9,10.66,527.21,6.1,6.06,5.34,0.363,75.7
2026-01-08 08:05:32,10.33,12.29,1148.07,4.67,5.05,8.78,0.521,149.4
2026-01-08 08:05:33,8.0,9.49,308.84,7.0,7.07,3.57,0.451,206.4
2026-01-08 08:05:34,9.49,11.3,818.72,5.51,5.72,6.93,0.485,274.2
2026-01-08 08:05:35,10.59,12.7,1370.66,4.41,4.74,10.43,0.43,350.4
2026-01-08 08:05:36,11.7,13.93,1931.5,3.3,3.56,13.87,0.482,73.9
2026-01-08 08:05:37,8.61,10.38,440.25,6.39,6.56,3.93,0.448,136.2
2026-01-08 08:05:38,9.84,11.64,1007.09,5.16,5.42,7.8,0.303,206.0
2026-01-08 08:05:39,11.53,13.81,1824.41,3.47,3.76,13.71,0.503,288.9
2026-01-08 08:05:40,9.52,11.37,827.22,5.48,5.46,7.59,0.511,357.1
2026-01-08 08:05:41,11.65,13.88,1904.23,3.35,3.41,13.2,0.693,80.4
2026-01-08 08:05:42,9.0,10.83,599.78,6.0,5.86,5.18,0.468,145.3
2026-01-08 08:05:43,9.44,11.27,714.9,5.56,5.77,6.62,0.532,213.0
2026-01-08 08:05:44,9.01,10.75,667.29,5.99,5.76,6.39,0.412,277.5
2026-01-08 08:05:45,13.67,15.0,2438.09,1.33,1.13,15.85,0.555,7.5
2026-01-08 08:05:46,11.08,13.33,1541.09,3.92,3.61,11.67,0.607,87.5
2026-01-08 08:05:47,9.45,11.09,683.23,5.55,5.72,6.5,0.435,154.0
2026-01-08 08:05:48,10.42,12.51,1161.77,4.58,4.75,8.71,0.511,229.1
2026-01-08 08:05:49,9.66,11.37,794.26,5.34,5.63,6.92,0.34,297.3
2026-01-08 08:05:50,12.04,14.39,1838.85,2.96,3.04,12.8,0.363,23.6
2026-01-08 08:05:51,10.69,12.84,1302.66,4.31,4.05,10.31,0.419,100.6
2026-01-08 08:05:52,11.84,14.1,1907.75,3.16,2.61,13.65,0.461,185.3
2026-01-08 08:05:53,9.98,12.08,854.87,5.02,5.21,7.05,0.571,257.7
2026-01-08 08:05:54,11.71,14.04,1626.29,3.29,3.12,11.94,0.539,341.9
2026-01-08 08:05:55,10.41,12.51,1047.84,4.59,4.53,7.94,0.552,57.0
2026-01-08 08:05:56,12.0,14.36,2140.96,3.0,2.89,14.5,0.337,143.2
2026-01-08 08:05:57,10.71,12.76,1280.29,4.29,4.21,9.99,0.398,219.7
2026-01-08 08:05:58,9.64,11.7,790.33,5.36,5.46,6.64,0.419,289.9
2026-01-08 08:05:59,11.36,13.44,1607.04,3.64,3.82,11.79,0.579,10.6
2026-01-08 08:06:00,10.58,12.57,1181.32,4.42,4.63,9.21,0.556,86.0
2026-01-08 08:06:01,11.85,14.17,1912.69,3.15,2.92,13.32,0.328,171.0
2026-01-08 08:06:02,8.72,10.36,510.94,6.28,6.44,4.79,0.488,233.2
2026-01-08 08:06:03,10.19,12.05,1035.43,4.81,5.01,8.07,0.587,305.5
2026-01-08 08:06:04,10.91,13.28,1429.55,4.09,4.25,10.69,0.516,25.1
2026-01-08 08:06:05,10.48,12.46,1186.5,4.52,4.1,9.27,0.491,99.9
2026-01-08 08:06:06,9.92,11.94,906.53,5.08,4.61,7.64,0.531,171.5
2026-01-08 08:06:07,11.11,13.39,1522.94,3.89,3.65,11.3,0.467,251.8
2026-01-08 08:06:08,7.48,9.05,206.77,7.52,7.23,2.71,0.423,306.2
2026-01-08 08:06:09,9.55,11.48,740.78,5.45,5.4,6.15,0.436,15.0
2026-01-08 08:06:10,15.57,15.06,2612.41,0.0,-0.1,17.21,0.298,105.4
2026-01-08 08:06:11,8.81,10.56,494.81,6.19,6.22,4.62,0.5,168.8
2026-01-08 08:06:12,9.14,11.13,592.09,5.86,5.54,4.91,0.349,235.5
2026-01-08 08:06:13,9.12,10.84,555.34,5.88,6.35,4.44,0.472,300.6
2026-01-08 08:06:14,10.24,12.26,969.88,4.76,4.46,7.12,0.47,14.1
2026-01-08 08:06:15,10.86,13.01,1246.0,4.14,3.99,9.43,0.553,92.2
2026-01-08 08:06:16,9.54,11.57,750.67,5.46,5.67,6.31,0.522,161.6
2026-01-08 08:06:17,10.34,12.58,1041.91,4.66,4.49,8.79,0.5,237.0
2026-01-08 08:06:18,8.91,10.54,558.29,6.09,5.69,5.28,0.397,300.3
