timestamp,wind_speed,rotor_rpm,power,pitch_cmd,pitch_meas,torque,vibration,rotor_phase
2026-01-08 08:05:05,7.66,9.13,234.54,7.34,7.26,2.66,0.393,54.8
2026-01-08 08:05:06,9.96,11.77,895.12,5.04,5.08,7.6,0.49,125.4
2026-01-08 08:05:07,9.08,10.59,597.33,5.92,5.43,5.78,0.581,188.9
2026-01-08 08:05:08,7.82,9.4,279.25,7.18,7.11,2.66,0.31,245.3
2026-01-08 08:05:09,12.14,14.72,2312.74,2.86,2.78,15.67,0.284,333.6
2026-01-08 08:05:10,9.31,11.27,630.98,5.69,5.54,5.74,0.619,41.3
2026-01-08 08:05:11,8.86,10.75,538.9,6.14,6.16,5.32,0.34,105.8
2026-01-08 08:05:12,11.64,13.81,1838.22,3.36,3.3,13.25,0.713,188.6
2026-01-08 08:05:13,8.12,9.6,344.04,6.88,6.92,3.31,0.415,246.3
2026-01-08 08:05:14,8.06,9.66,323.58,6.94,7.05,3.08,0.607,304.2
2026-01-08 08:05:15,10.24,12.26,1069.27,4.76,4.44,8.53,0.529,17.8
2026-01-08 08:05:16,11.35,13.33,1589.53,3.65,4.08,12.15,0.464,97.8
2026-01-08 08:05:17,11.11,13.26,1459.69,3.89,3.92,11.01,0.529,177.4
2026-01-08 08:05:18,9.57,11.54,795.01,5.43,5.31,6.63,0.548,246.6
2026-01-08 08:05:19,8.58,10.3,452.58,6.42,6.43,4.25,0.513,308.4
2026-01-08 08:05:20,12.48,14.75,2450.4,2.52,2.66,16.36,0.532,36.9
2026-01-08 08:05:21,15.05,14.86,2502.51,0.0,-0.36,16.63,0.515,126.1
2026-01-08 08:05:22,11.57,13.91,1803.83,3.43,3.66,13.04,0.513,209.5
2026-01-08 08:05:23,10.28,12.49,1059.26,4.72,4.36,8.16,0.48,284.5
2026-01-08 08:05:24,11.21,13.26,1484.92,3.79,3.83,11.39,0.513,4.1
2026-01-08 08:05:25,9.51,11.56,737.74,5.49,5.23,6.43,0.455,73.4
2026-01-08 08:05:26,10.33,12.31,1119.38,4.67,5.1,8.89,0.678,147.3
2026-01-08 08:05:27,9.5,11.32,762.25,5.5,5.34,6.84,0.488,215.2
2026-01-08 08:05:28,9.88,11.75,882.65,5.12,5.06,7.59,0.408,285.7
2026-01-08 08:05:29,10.33,12.53,1096.25,4.67,4.71,8.67,0.686,0.8
2026-01-08 08:05:30,10.56,12.68,1224.87,4.44,4.17,9.72,0.485,76.9
2026-01-08 08:05:31,9.71,11.68,821.02,5.29,5.29,7.02,0.384,147.0
2026-01-08 08:05:32,12.71,15.04,2625.0,2.29,2.36,17.12,0.352,237.2
2026-01-08 08:05:33,9.92,11.82,894.19,5.08,4.97,7.55,0.388,308.1
2026-01-08 08:05:34,11.19,13.5,1588.35,3.81,4.06,11.44,0.438,29.1
2026-01-08 08:05:35,11.8,14.06,2003.86,3.2,3.26,14.1,0.581,113.4
2026-01-08 08:05:36,12.17,14.59,2323.79,2.83,2.86,16.0,0.484,201.0
2026-01-08 08:05:37,8.11,9.7,350.76,6.89,6.85,3.72,0.537,259.1
2026-01-08 08:05:38,10.9,13.01,1386.92,4.1,4.14,10.77,0.459,337.2
2026-01-08 08:05:39,11.31,13.54,1637.62,3.69,3.72,11.76,0.564,58.4
2026-01-08 08:05:40,10.73,13.01,1279.97,4.27,4.05,9.96,0.544,136.5
2026-01-08 08:05:41,9.72,11.56,849.8,5.28,5.28,7.49,0.607,205.8
2026-01-08 08:05:42,12.25,14.67,2184.47,2.75,3.08,14.7,0.331,293.8
2026-01-08 08:05:43,9.26,11.24,677.36,5.74,5.19,6.25,0.545,1.3
2026-01-08 08:05:44,10.77,13.07,1285.38,4.23,4.3,9.64,0.555,79.7
2026-01-08 08:05:45,9.91,11.94,924.89,5.09,5.29,7.57,0.356,151.3
2026-01-08 08:05:46,11.33,13.56,1570.83,3.67,3.74,11.51,0.416,232.7
2026-01-08 08:05:47,11.51,13.79,1745.99,3.49,3.18,12.39,0.593,315.4
2026-01-08 08:05:48,7.97,9.59,306.2,7.03,6.9,3.05,0.507,13.0
2026-01-08 08:05:49,7.73,9.24,248.8,7.27,7.03,2.99,0.512,68.4
2026-01-08 08:05:50,9.91,11.92,891.76,5.09,5.1,7.78,0.545,140.0
2026-01-08 08:05:51,9.7,11.69,817.37,5.3,5.04,7.02,0.527,210.1
2026-01-08 08:05:52,10.81,12.95,1317.58,4.19,4.19,10.15,0.438,287.8
2026-01-08 08:05:53,11.28,13.52,1658.01,3.72,3.88,12.31,0.521,8.9
2026-01-08 08:05:54,8.5,10.07,452.33,6.5,6.31,4.41,0.486,69.3
2026-01-08 08:05:55,9.07,10.9,575.53,5.93,6.08,5.21,0.482,134.7
2026-01-08 08:05:56,10.21,12.3,1019.94,4.79,4.77,8.45,0.552,208.5
2026-01-08 08:05:57,14.33,14.97,2500.54,0.67,0.26,16.63,0.259,298.3
2026-01-08 08:05:58,8.04,9.7,311.6,6.96,7.03,3.25,0.511,356.5
2026-01-08 08:05:59,10.43,12.53,1149.26,4.57,4.65,9.15,0.487,71.7
2026-01-08 08:06:00,11.07,13.24,1558.15,3.93,3.98,11.31,0.356,151.1
2026-01-08 08:06:01,11.52,13.72,1725.47,3.48,3.34,12.28,0.436,233.4
2026-01-08 08:06:02,10.38,12.46,1160.61,4.62,4.72,9.4,0.606,308.2
2026-01-08 08:06:03,10.06,12.22,998.48,4.94,4.91,7.91,0.442,21.5
2026-01-08 08:06:04,10.73,12.94,1376.82,4.27,4.53,10.77,0.443,99.1
2026-01-08 08:06:05,10.44,12.64,1190.34,4.56,4.6,9.24,0.527,175.0
2026-01-08 08:06:06,10.37,12.53,1098.05,4.63,4.36,8.32,0.461,250.2
2026-01-08 08:06:07,11.44,13.64,1708.86,3.56,3.57,12.4,0.514,332.0
2026-01-08 08:06:08,8.91,10.69,543.64,6.09,6.32,5.4,0.444,36.2
2026-01-08 08:06:09,9.97,11.87,941.59,5.03,5.12,7.83,0.397,107.4
2026-01-08 08:06:10,12.0,14.01,2065.58,3.0,2.87,14.71,0.608,191.5
2026-01-08 08:06:11,10.4,12.42,1084.31,4.6,4.68,8.71,0.536,266.0
2026-01-08 08:06:12,10.03,11.99,992.13,4.97,5.1,7.95,0.555,337.9
2026-01-08 08:06:13,9.02,10.73,556.04,5.98,5.83,5.24,0.587,42.3
2026-01-08 08:06:14,9.95,12.02,953.28,5.05,4.79,7.65,0.682,114.4
2026-01-08 08:06:15,10.7,12.82,1300.94,4.3,4.2,9.91,0.577,191.3
2026-01-08 08:06:16,10.75,12.89,1332.95,4.25,4.03,10.48,0.553,268.7
2026-01-08 08:06:17,11.44,13.87,1710.8,3.56,3.43,12.19,0.342,351.9
2026-01-08 08:06:18,11.12,13.37,1529.78,3.88,3.73,11.42,0.337,72.1
2026-01-08 08:06:19,12.59,14.89,2571.94,2.41,2.57,17.29,0.518,161.5
2026-01-08 08:06:20,9.52,11.31,721.7,5.48,5.46,6.41,0.418,229.3
2026-01-08 08:06:21,13.5,15.12,2481.68,1.5,1.25,16.57,0.496,320.0
2026-01-08 08:06:22,12.03,14.5,2009.5,2.97,2.71,13.64,0.399,47.0
2026-01-08 08:06:23,11.61,13.99,1856.58,3.39,3.5,13.1,0.551,131.0
2026-01-08 08:06:24,8.03,9.63,310.3,6.97,6.81,3.14,0.55,188.7
2026-01-08 08:06:25,12.26,14.81,2326.96,2.74,2.91,15.87,0.499,277.6
2026-01-08 08:06:26,6.86,8.26,127.91,8.14,8.15,1.29,0.461,327.1
2026-01-08 08:06:27,10.38,12.29,1140.86,4.62,4.59,9.17,0.508,40.9
2026-01-08 08:06:28,4.72,5.6,6.33,10.28,10.24,-0.02,0.606,74.5
2026-01-08 08:06:29,10.14,12.07,991.14,4.86,4.58,7.67,0.559,147.0
2026-01-08 08:06:30,10.97,13.25,1490.04,4.03,4.22,10.92,0.532,226.5
2026-01-08 08:06:31,10.37,12.48,1142.59,4.63,4.43,9.22,0.427,301.4
2026-01-08 08:06:32,9.5,11.6,782.01,5.5,5.66,6.47,0.5,10.9
2026-01-08 08:06:33,9.91,11.9,908.73,5.09,4.99,7.27,0.499,82.3
2026-01-08 08:06:34,6.61,7.91,105.95,8.39,8.38,1.18,0.528,129.8
2026-01-08 08:06:35,10.68,12.87,1212.89,4.32,3.91,9.28,0.432,207.1
2026-01-08 08:06:36,9.4,11.18,736.42,5.6,5.76,6.74,0.48,274.1
2026-01-08 08:06:37,11.57,13.94,1821.85,3.43,3.41,13.08,0.651,357.8
2026-01-08 08:06:38,12.92,14.98,2395.5,2.08,2.28,16.02,0.4,87.7
2026-01-08 08:06:39,12.77,14.94,2520.5,2.23,2.39,16.82,0.361,177.3
2026-01-08 08:06:40,8.53,10.32,450.36,6.47,6.16,4.34,0.333,239.2
2026-01-08 08:06:41,9.17,10.83,582.86,5.83,6.21,5.37,0.541,304.2
2026-01-08 08:06:42,10.51,12.65,1198.13,4.49,4.6,9.55,0.6,20.1
2026-01-08 08:06:43,11.81,13.95,2009.33,3.19,3.47,14.26,0.577,103.8
2026-01-08 08:06:44,9.71,11.69,824.36,5.29,5.37,6.93,0.535,174.0
2026-01-08 08:06:45,10.13,12.13,998.9,4.87,4.97,7.96,0.504,246.7
2026-01-08 08:06:46,10.6,12.59,1299.73,4.4,4.35,10.35,0.626,322.2
2026-01-08 08:06:47,9.89,11.8,892.85,5.11,5.46,7.35,0.527,33.1
2026-01-08 08:06:48,10.35,12.51,1131.21,4.65,4.5,9.18,0.414,108.1
2026-01-08 08:06:49,10.29,12.46,1009.46,4.71,4.48,7.96,0.541,182.9
2026-01-08 08:06:50,10.25,12.29,1088.93,4.75,4.76,8.47,0.469,256.6
2026-01-08 08:06:51,10.26,12.31,1015.23,4.74,4.94,8.05,0.476,330.5
2026-01-08 08:06:52,11.0,13.02,1482.1,4.0,3.99,11.54,0.549,48.6
2026-01-08 08:06:53,9.42,11.36,703.63,5.58,5.82,5.99,0.558,116.8
2026-01-08 08:06:54,6.9,8.39,138.26,8.1,8.34,1.79,0.549,167.2
2026-01-08 08:06:55,9.78,11.88,873.67,5.22,5.07,6.93,0.44,238.4
2026-01-08 08:06:56,11.84,14.09,2012.74,3.16,2.95,14.09,0.564,323.0
2026-01-08 08:06:57,10.34,12.35,1102.44,4.66,4.43,8.81,0.584,37.0
2026-01-08 08:06:58,8.66,10.38,465.66,6.34,6.08,4.64,0.484,99.3
2026-01-08 08:06:59,10.89,13.27,1443.54,4.11,3.84,10.88,0.361,178.9
2026-01-08 08:07:00,11.87,14.18,1948.2,3.13,3.38,13.53,0.484,264.0
2026-01-08 08:07:01,8.04,9.35,320.73,6.96,6.82,3.39,0.702,320.1
2026-01-08 08:07:02,8.23,9.72,372.5,6.77,7.1,4.0,0.486,18.4
2026-01-08 08:07:03,8.96,10.78,565.16,6.04,5.65,5.27,0.562,83.1
2026-01-08 08:07:04,8.88,10.67,526.02,6.12,6.3,5.19,0.656,147.2
2026-01-08 08:07:05,13.34,15.03,2537.6,1.66,1.66,16.62,0.488,237.4
2026-01-08 08:07:06,8.96,10.67,562.91,6.04,6.38,5.53,0.55,301.4
2026-01-08 08:07:07,11.94,14.33,1992.62,3.06,3.06,13.68,0.667,27.4
